#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
5067,50s,"50대 초반",Bottle of Propofol,"프로포폴 약병",Jersey Zip Hoodie,"저지 소재 트레이닝복",Ivory Converse,"아이보리색 컨버스 운동화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Janitor,"경비원",Morning,"피 토하는 소리",Back Seats,"오전 9시",Throw Up Blood,"검정색 중형 세단의 뒷좌석",Fly,"파리 시체 한 마리"
5068,50s,"50대 초반",Gasoline With Zippo,"휘발유와 지포 라이터",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",Blue Football Boots,"파란색/노란색 배색의 축구화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Millitary Backpack,"군용 밀리터리 백팩",Guard,"경호원",Late Night,"사물이 아스팔트 바닥에 끌리는 소리",Self Service Bar,"오후 9시",Draw On Asphalt,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Black Vinyl Bag,"검은 비닐 봉지"
5069,40s,"40대 후반",Venomous Snake Cage,"독사가 든 케이지",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",White Platform Sneakers,"키높이 흰색 스니커즈",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Lawyer,"변호사",Late Night,"불경 읊는 소리",Messy Dumpster Alley,"오후 9시",Reading Buddhist Text,"원룸촌의 더러운 분리수거장",Empty Cartridge,"탄피 몇 개"
5070,60s,"60대 중반",Potassium Cyanide,"청산가리",White Shirt,"붉은색 넥타이와 흰색 와이셔츠",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Janitor,"경비원",Late Night,"돈 세는 소리",Single Corridor Apartment,"오후 9시",Counting Money,"낡은 복도식 아파트",Arson Attempt,"방화 시도의 흔적"
5071,30s,"30대 중반",Water,"물",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",Red Football Boots,"빨간색/검은색 배색의 축구화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Engagement Ring,"네 번째 손가락에 반지",Professor,"교수",Night,"키보드 소리",Big Square Onstage,"오후 6시",Keyboard Sound,"넓은 광장에 설치된 야외 무대 위",Paint Stain,"페인트 자국"
5072,30s,"30대 중반",Wood Branch,"길이 1m의 나뭇가지",Black Poncho Raincoat,"검은색 판초 우의",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Black Disposable Mask,"검정색 일회용 마스크",Cleaner,"청소부",Night,"가스레인지를 켜는 소리",Officetel Staircase,"오후 6시",Gas Range On,"오피스텔의 12층 계단실",Skid Mark,"타이어 자국"
5073,50s,"50대 초반",Sulfuric Acid,"황산",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Dandy Hairstyle,"검은색 댄디 컷",Drop earrings,"아주 긴 드롭형 귀걸이",Hotel Receptionist,"호텔 접수원",Morning,"런닝머신 돌아가는 소리",Closed Amusement Park,"오전 9시",Running Treadmill,"넓은 공원의 폐장된 유원지",Written In Blood,"핏자국으로 그린 표식"
5074,20s,"20대 초반",Broken Beer Bottle,"깨진 500ML 갈색 맥주병",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Suede Boat shoes,"갈색 스웨이드 보트슈즈",High Ponytail,"장발을 높게 묶은 포니테일",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Sanitation Worker,"환경미화원",Late Night,"손 관절을 꺾는 소리",Messy Goshiwon,"오후 9시",Crack Knuckles,"관리가 되지 않아 더러운 고시원",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
5075,20s,"20대 초반",Wooden Board,"공사장에서 사용하는 각목",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Millitary Backpack,"군용 밀리터리 백팩",Actor,"배우",Late Night,"핸드폰 알람 소리",Messy Dumpster Alley,"오후 9시",Phone Alarm Ringing,"원룸촌의 더러운 분리수거장",Glass Fragments,"유리 파편"
5076,30s,"30대 중반",Wood Branch,"길이 1m의 나뭇가지",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Knee High Wellies,"무릎까지 오는 고무 장화",Short Hair,"숏컷",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Janitor,"경비원",Late Afternoon,"고속도로 자동차 소리",Middle School,"오후 3시",Cars On Highway,"지역 학군에서 가장 유명한 중학교",Paint Stain,"페인트 자국"
5077,50s,"50대 초반",Thick Rubber Wire,"검은색 두꺼운 전선",Cotton Zip Hoodie,"면 소재 트레이닝복",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Pomade Hair,"잘 정돈된 포마드 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Chef,"요리사",Night,"고속도로 자동차 소리",Old DVD room,"오후 6시",Cars On Highway,"오래된 건물 3층에 있는 DVD방",Fingerprints,"지문 몇 점"
5078,70s,"70대 후반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Black Hiking Jacket,"검은색/회색 배색의 등산복",Blue Football Boots,"파란색/노란색 배색의 축구화",Cherry Red Hair,"체리 레드 염색머리",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Hotel Receptionist,"호텔 접수원",Night,"네온사인 간판 소리",School Reunions,"오후 6시",Neon Sign Noise,"지하 술집에서 열린 동창회",Used Toilet Paper,"사용한 휴지 몇 장"
5079,30s,"30대 중반",Flathead Screwdriver,"고무 손잡이가 달린 일자 드라이버",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Knee High Wellies,"무릎까지 오는 고무 장화",Cherry Red Hair,"체리 레드 염색머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Director,"연출가",Late Night,"고속도로 자동차 소리",Haunted House,"오후 9시",Cars On Highway,"귀신이 들렸다고 소문난 버려진 폐가",Maggot,"이제 막 태어난 작은 구더기"
5080,30s,"30대 중반",Wrapped Blowfish Sashimi,"포장된 복어회",Charcoal Hoodie,"어두운 회색 후드 티셔츠",Black Chelsea Boots,"검은색 첼시 부츠",Dandy Hairstyle,"검은색 댄디 컷",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Engineer,"연구원",Night,"세탁기 소리",Small Old Supermarket,"오후 6시",Washing Machine Sound,"동네의 작고 낡은 슈퍼마켓",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
5081,20s,"20대 초반",Glacial Acetic Acid,"종이컵에 가득 담긴 빙초산",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Brown Flip Flop,"갈색 스팽글 장식 플립플랍",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Cleaner,"청소부",Deep Dawn,"부채 소리",Night Mountain,"오전 3시",Fan Sound,"야산 깊은 곳",Scorch Mark,"불에 그슬린 자국"
5082,20s,"20대 초반",Old Striped Tie,"헤진 파란색 줄무늬 넥타이",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Black Low Sneakers,"검은색 낮은 운동화",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Millitary Backpack,"군용 밀리터리 백팩",Nurse,"간호사",Morning,"플라스틱이 서로 부딪치는 소리",Old Snack Bar,"오전 9시",Plastic Beating Sound,"학교 앞 분식집",Women`s Underwear,"여자 속옷"
5083,40s,"40대 후반",Gasoline With Zippo,"휘발유와 지포 라이터",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",White Basketball Shoes,"흰색 농구화",Long Permed Hair,"장발의 파마머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Lawyer,"변호사",Late Night,"날붙이가 떨어지는 소리",Back Seats,"오후 9시",Cutlery Falling down,"검정색 중형 세단의 뒷좌석",Fibrous Tissues,"섬유 조직 몇 개"
5084,20s,"20대 초반",Wrapped Knife,"신문지로 싼 식칼",Bulletproof Vest,"방탄 조끼",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Engagement Ring,"네 번째 손가락에 반지",Engineer,"연구원",Night,"날붙이가 떨어지는 소리",Middle School,"오후 6시",Cutlery Falling down,"지역 학군에서 가장 유명한 중학교",Paint Stain,"페인트 자국"
5085,20s,"20대 초반",Poisonous Mushroom Broth,"붉은사슴뿔버섯을 달인 물",Cotton Zip Hoodie,"면 소재 트레이닝복",Chess Patteren loafer,"체스판 무늬의 슬립온",Long Curly Hair,"장발의 곱슬머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Engineer,"연구원",Night,"사물이 미끄러져 박살나는 소리",Dormitory High School,"오후 6시",Slip and Crash,"기숙사가 있는 자율형 사립고등학교",Written In Blood,"핏자국으로 그린 표식"
5086,30s,"30대 중반",Microgun XM214,"XM214 마이크로건",Logo Printed Windbreaker,"유명 브랜드 로고가 있는 바람막이 점퍼",Red Football Boots,"빨간색/검은색 배색의 축구화",Dandy Hairstyle,"검은색 댄디 컷",Black Backpack,"검은색 백팩",Firefighter,"소방관",Morning,"이를 가는 소리",Inside Camping Car,"오전 9시",Grind one`s Teeth,"커스텀 캠핑카 안",Light Brown Hair,"밝은 갈색의 머리카락"
5087,70s,"70대 후반",Board With Nails,"못이 박혀 있는 각목",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",White Basketball Shoes,"흰색 농구화",Short Hair,"숏컷",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Engineer,"연구원",Night,"이를 가는 소리",Single Corridor Apartment,"오후 6시",Grind one`s Teeth,"낡은 복도식 아파트",Nail Tips,"네일팁 몇 개"
5088,20s,"20대 초반",Mercury,"수은",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Black Boots,"검은색 8홀 가죽 워커",Long Hair,"어깨선을 넘는 장발",Black Backpack,"검은색 백팩",Nurse,"간호사",Morning,"망치질 소리",Shared Office Toilet,"오전 9시",Hammering Sound,"공유 오피스 건물 10층 복도 화장실",Light Brown Hair,"밝은 갈색의 머리카락"
5089,50s,"50대 초반",Mercury,"수은",Jersey Zip Hoodie,"저지 소재 트레이닝복",White Basketball Shoes,"흰색 농구화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Silver Stainless Ring,"은색 써지컬 반지",Police Officer,"경찰",Night,"턱 관절이 어긋나는 소리",Officetel Management Office,"오후 6시",Twisting Jaw joint,"오피스텔 관리실",Fly,"파리 시체 한 마리"
5090,50s,"50대 초반",Surgical Blade,"날카로운 의료용 메스",Old Leather Jacket,"아주 오래되어 낡은 검은색 가죽 라이더 자켓",Red Football Boots,"빨간색/검은색 배색의 축구화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Black Backpack,"검은색 백팩",Mart Cashier,"마트 직원",Late Night,"날붙이가 떨어지는 소리",Small Old Supermarket,"오후 9시",Cutlery Falling down,"동네의 작고 낡은 슈퍼마켓",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
5091,40s,"40대 후반",Flathead Screwdriver,"고무 손잡이가 달린 일자 드라이버",Bulletproof Vest,"방탄 조끼",Black Converse,"검은색 컨버스 운동화",High Ponytail,"장발을 높게 묶은 포니테일",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Engineer,"연구원",Night,"고속도로 자동차 소리",Inn Near Brothel,"오후 6시",Cars On Highway,"홍등가 한복판에 위치한 낡은 여관",Light Brown Hair,"밝은 갈색의 머리카락"
5092,20s,"20대 초반",Coca-cola Bottle,"350ml 코카콜라 병",Cotton Zip Hoodie,"면 소재 트레이닝복",White Basketball Shoes,"흰색 농구화",Brown Short Babyperm,"짙은 갈색의 짧은 베이비 펌 커트 머리",Silver Stainless Ring,"은색 써지컬 반지",Hair Designer,"미용사",Late Night,"껌 씹는 소리",Semi Basement Apartment,"오후 9시",Chewing Gum,"쇠창살 달린 창문이 있는 반지하 원룸",Headlight,"피가 묻은 헤드 라이트"
5093,40s,"40대 후반",Sharp Pencil,"날카롭게 갈린 연필",Undershirt,"흰색 런닝 셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",High Ponytail,"장발을 높게 묶은 포니테일",Millitary Backpack,"군용 밀리터리 백팩",Guard,"경호원",Night,"이를 가는 소리",Karaoke Underground,"오후 6시",Grind one`s Teeth,"지하 1층의 노래방",Weapon Without Fingerprint,"지문이 발견되지 않은 그 흉기"
5094,40s,"40대 후반",Poisonous Mushroom Broth,"붉은사슴뿔버섯을 달인 물",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Mid-long Straight Hair,"중단발의 검은 생머리",Leg Prosthetics,"의족",Actor,"배우",Morning,"휘파람 소리",Old DVD room,"오전 9시",Whistle,"오래된 건물 3층에 있는 DVD방",Women`s Underwear,"여자 속옷"
5095,40s,"40대 후반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",Stripe Tshirt,"푸른색/흰색 스트라이프 반팔 셔츠",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Electronics Anklet,"전자 발찌",Director,"연출가",Deep Dawn,"체온계 온도 체크하는 소리",Messy Dumpster Alley,"오전 3시",Thermometer Noise,"원룸촌의 더러운 분리수거장",Arson Attempt,"방화 시도의 흔적"
5096,30s,"30대 중반",Charging Cable,"검은색 충전기 케이블",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Stud Earrings,"귀에 딱 붙는 귀걸이",Director,"연출가",Morning,"네온사인 간판 소리",Big Square Backstage,"오전 9시",Neon Sign Noise,"넓은 광장에 설치된 야외 무대 뒤",Footprint 245mm Highheels,"245mm 정도의 하이힐 발자국"
5097,40s,"40대 후반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Pixie Cut,"앞머리가 있는 단정한 숏컷",Electronics Anklet,"전자 발찌",Soldier,"군인",Deep Dawn,"불규칙한 발걸음 소리",Officetel Underground Parkinglot,"오전 3시",Irregular Walking Sound,"오피스텔의 지하 주차장",Glass Fragments,"유리 파편"
5098,20s,"20대 초반",Ice Pick,"나무 손잡이가 달린 얼음 송곳",Purple Short Cardigan,"짙은 보라색의 짧은 니트 가디건",Black Boots,"검은색 8홀 가죽 워커",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Cleaner,"청소부",Late Night,"손 관절을 꺾는 소리",Semi Basement Apartment,"오후 9시",Crack Knuckles,"쇠창살 달린 창문이 있는 반지하 원룸",Footprint 245mm Highheels,"245mm 정도의 하이힐 발자국"
5099,20s,"20대 초반",Glacial Acetic Acid,"종이컵에 가득 담긴 빙초산",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Logo Printed Slider,"유명 브랜드 로고가 있는 슬리퍼",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Mart Cashier,"마트 직원",Night,"고속도로 자동차 소리",Inside Camping Car,"오후 6시",Cars On Highway,"커스텀 캠핑카 안",Fibrous Tissues,"섬유 조직 몇 개"
5100,20s,"20대 초반",Walther PPK ,"검은색 발터 PPK 권총",Stripe Tshirt,"푸른색/흰색 스트라이프 반팔 셔츠",Red Converse,"빨간색 컨버스 운동화",Long Permed Hair,"장발의 파마머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Nurse,"간호사",Deep Dawn,"TV 속 스포츠 방송 중계 소리",Female Outfit Outlet,"오전 3시",TV Sports Commentaries,"아울렛 몰의 3층 여성복 코너",Metal Fragments,"금속 파편"
5101,50s,"50대 초반",Sniper Gun ULR338,"저격소총 ULR 338",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Suede Boat shoes,"갈색 스웨이드 보트슈즈",Mid-long Straight Hair,"중단발의 검은 생머리",Electronics Anklet,"전자 발찌",Mart Cashier,"마트 직원",Late Afternoon,"손 관절을 꺾는 소리",Shared Office Toilet,"오후 3시",Crack Knuckles,"공유 오피스 건물 10층 복도 화장실",Fibrous Tissues,"섬유 조직 몇 개"
5102,30s,"30대 중반",Submachine Gun K16,"기관단총 K16",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",White Platform Sneakers,"키높이 흰색 스니커즈",High Ponytail,"장발을 높게 묶은 포니테일",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Mechanic,"정비공",Deep Dawn,"파도 소리",Female Outfit Outlet,"오전 3시",Sound of Wave,"아울렛 몰의 3층 여성복 코너",Crumpled Cigarette Package,"구겨진 담배갑"
